id;title;entity_field_name;type;table_column_name;column_width;hide_in_list;common_table_id;system;edit_in_list;client_read_only;field_values;order;not_null;validate_rules;tree_indicator;end_used;hide_in_form;sortable
1;ID;id;LONG;id;100;false;1;true;false;true;NULL;0;false;NULL;false;NULL;false;true
2;登录名;login;STRING;login;100;false;1;true;false;false;NULL;1;true;NULL;false;NULL;false;true
3;密码;password;STRING;password_hash;100;true;1;true;false;false;NULL;2;true;NULL;false;NULL;false;false
4;名字;firstName;STRING;first_name;100;false;1;true;false;false;NULL;3;false;NULL;false;NULL;false;false
5;姓;lastName;STRING;last_name;100;false;1;true;false;false;NULL;4;false;NULL;false;NULL;false;false
6;邮箱;email;STRING;email;100;false;1;true;false;false;NULL;5;false;NULL;false;NULL;false;true
7;是否激活;activated;BOOLEAN;activated;100;false;1;true;true;false;NULL;6;false;NULL;false;NULL;false;true
8;用户语言;langKey;STRING;lang_key;100;true;1;true;false;false;NULL;7;false;NULL;false;NULL;false;false
9;头像地址;imageUrl;STRING;image_url;100;false;1;true;false;false;NULL;8;false;NULL;false;AVATAR;false;false
10;激活码;activationKey;STRING;activation_key;100;true;1;true;false;false;NULL;9;false;NULL;false;NULL;false;false
11;重置码;resetKey;STRING;reset_key;100;true;1;true;false;false;NULL;10;false;NULL;false;NULL;false;false
12;重置时间;resetDate;ZONED_DATE_TIME;reset_date;100;true;1;true;false;false;NULL;11;false;NULL;false;NULL;false;false
13;Id;id;STRING;id;100;false;2;true;false;false;NULL;0;false;NULL;false;NULL;false;true
14;processDefinitionId;processDefinitionId;STRING;processDefinitionId;100;false;2;true;false;false;NULL;0;false;NULL;false;NULL;false;false
15;processDefinitionUrl;processDefinitionUrl;STRING;processDefinitionUrl;100;false;2;true;false;false;NULL;0;false;NULL;false;NULL;false;false
16;processInstanceId;processInstanceId;STRING;processInstanceId;100;false;2;true;false;false;NULL;0;false;NULL;false;NULL;false;false
17;processInstanceUrl;processInstanceUrl;STRING;processInstanceUrl;100;false;2;true;false;false;NULL;0;false;NULL;false;NULL;false;false
18;executionId;executionId;STRING;executionId;100;false;2;true;false;false;NULL;0;false;NULL;false;NULL;false;false
19;name;name;STRING;name;100;false;2;true;false;false;NULL;0;false;NULL;false;NULL;false;false
20;description;description;STRING;description;100;false;2;true;false;false;NULL;0;false;NULL;false;NULL;false;false
21;deleteReason;deleteReason;STRING;deleteReason;100;false;2;true;false;false;NULL;0;false;NULL;false;NULL;false;false
22;owner;owner;STRING;owner;100;false;2;true;false;false;NULL;0;false;NULL;false;NULL;false;false
23;assignee;assignee;STRING;assignee;100;false;2;true;false;false;NULL;0;false;NULL;false;NULL;false;false
24;startTime;startTime;STRING;startTime;100;false;2;true;false;false;NULL;0;false;NULL;false;NULL;false;false
25;endTime;endTime;STRING;endTime;100;false;2;true;false;false;NULL;0;false;NULL;false;NULL;false;false
26;durationInMillis;durationInMillis;LONG;durationInMillis;100;false;2;true;false;false;NULL;0;false;NULL;false;NULL;false;false
27;workTimeInMillis;workTimeInMillis;LONG;workTimeInMillis;100;false;2;true;false;false;NULL;0;false;NULL;false;NULL;false;false
28;claimTime;claimTime;STRING;claimTime;100;false;2;true;false;false;NULL;0;false;NULL;false;NULL;false;false
29;taskDefinitionKey;taskDefinitionKey;STRING;taskDefinitionKey;100;false;2;true;false;false;NULL;0;false;NULL;false;NULL;false;false
30;formKey;formKey;STRING;formKey;100;false;2;true;false;false;NULL;0;false;NULL;false;NULL;false;false
31;priority;priority;STRING;priority;100;false;2;true;false;false;NULL;0;false;NULL;false;NULL;false;false
32;dueDate;dueDate;LONG;dueDate;100;false;2;true;false;false;NULL;0;false;NULL;false;NULL;false;false
33;parentTaskId;parentTaskId;STRING;parentTaskId;100;false;2;true;false;false;NULL;0;false;NULL;false;NULL;false;false
34;url;url;STRING;url;100;false;2;true;false;false;NULL;0;false;NULL;false;NULL;false;false
35;tenantId;tenantId;STRING;tenantId;100;false;2;true;false;false;NULL;0;false;NULL;false;NULL;false;false
36;Id;id;LONG;id;80;true;3;true;false;true;NULL;0;false;NULL;false;NULL;false;true
37;角色名称;name;STRING;name;160;false;3;true;false;false;NULL;1;false;NULL;true;NULL;false;false
38;角色代号;code;STRING;code;160;false;3;true;false;false;NULL;2;false;NULL;false;NULL;false;false
39;信息;info;STRING;info;160;false;3;true;false;false;NULL;3;false;NULL;false;NULL;false;false
40;排序;order;INTEGER;order;80;false;3;true;false;false;NULL;4;false;NULL;false;NULL;false;false
41;展示;display;BOOLEAN;display;70;false;3;true;false;false;NULL;5;false;NULL;false;NULL;false;false
43;id;id;LONG;id;80;false;4;true;false;true;NULL;1;false;NULL;false;NULL;false;false
44;标题;title;STRING;title;160;false;4;true;false;false;NULL;2;true;{"required":true,"maxLength":100};false;NULL;false;false
45;属性名称;entityFieldName;STRING;entity_field_name;160;false;4;true;false;false;NULL;3;true;{"required":true,"maxLength":100};false;NULL;false;false
46;数据类型;type;ENUM;type;100;false;4;true;false;false;{"INTEGER":"INTEGER","LONG":"LONG","BOOLEAN":"BOOLEAN","STRING":"STRING","FLOAT":"FLOAT","DOUBLE":"DOUBLE","ZONED_DATE_TIME":"ZONED_DATE_TIME","LOCATE_DATE":"LOCATE_DATE","BIG_DECIMAL":"BIG_DECIMAL","TEXTBLOB":"TEXTBLOB","IMAGEBLOB":"IMAGEBLOB","ENUM":"ENUM","UPLOAD_IMAGE":"UPLOAD_IMAGE","UPLOAD_FILE":"UPLOAD_FILE","ENTITY":"ENTITY","RADIO":"RADIO","MULTI_SELECT":"MULTI_SELECT","DATA_DICTIONARY":"DATA_DICTIONARY","UUID":"UUID"};4;true;{"required":true};false;NULL;false;false
47;字段名称;tableColumnName;STRING;table_column_name;160;false;4;true;false;false;NULL;5;true;{"required":true,"maxLength":100};false;NULL;false;false
48;列宽;columnWidth;INTEGER;column_width;80;false;4;true;false;false;NULL;6;false;{"min":0,"max":1200};false;NULL;false;false
49;显示顺序;order;INTEGER;`order`;80;false;4;true;false;false;NULL;7;false;NULL;false;NULL;false;false
50;行内编辑;editInList;BOOLEAN;edit_in_list;70;false;4;true;true;false;NULL;8;false;NULL;false;NULL;false;false
51;列表隐藏;hideInList;BOOLEAN;hide_in_list;70;false;4;true;false;false;NULL;9;false;NULL;false;NULL;false;false
52;表单隐藏;hideInForm;BOOLEAN;hide_in_form;70;false;4;true;false;false;NULL;10;false;NULL;false;NULL;false;false
53;可过滤;enableFilter;BOOLEAN;enable_filter;70;false;4;true;false;false;NULL;11;false;NULL;false;NULL;false;false
54;验证规则;validateRules;STRING;validate_rules;160;false;4;true;false;false;NULL;12;false;{"maxLength":800};false;NULL;false;false
55;显示在过滤树;showInFilterTree;BOOLEAN;show_in_filter_tree;70;false;4;true;false;false;NULL;13;false;NULL;false;NULL;false;false
56;列固定;fixed;ENUM;fixed;100;false;4;true;false;false;{"LEFT":"LEFT","RIGHT":"RIGHT"};14;false;NULL;false;NULL;false;false
57;可排序;sortable;BOOLEAN;sortable;70;false;4;true;false;false;NULL;15;false;NULL;false;NULL;false;false
58;树形标识;treeIndicator;BOOLEAN;tree_indicator;70;false;4;true;false;false;NULL;16;false;NULL;false;NULL;false;false
59;前端只读;clientReadOnly;BOOLEAN;client_read_only;70;false;4;true;false;false;NULL;17;false;NULL;false;NULL;false;false
60;值范围;fieldValues;STRING;field_values;160;false;4;true;false;false;NULL;18;false;{"maxLength":2000};false;NULL;false;false
61;必填;notNull;BOOLEAN;not_null;70;false;4;true;false;false;NULL;19;false;NULL;false;NULL;false;false
62;系统字段;system;BOOLEAN;`system`;70;false;4;true;false;false;NULL;20;false;NULL;false;NULL;false;false
63;字段说明;help;STRING;help;160;false;4;true;false;false;NULL;21;false;{"maxLength":200};false;NULL;false;false
64;字体颜色;fontColor;STRING;font_color;160;false;4;true;false;false;NULL;22;false;{"maxLength":80};false;NULL;false;false
65;列背景色;backgroundColor;STRING;background_color;160;false;4;true;false;false;NULL;23;false;{"maxLength":80};false;NULL;false;false
66;空值隐藏;nullHideInForm;BOOLEAN;null_hide_in_form;70;false;4;true;false;false;NULL;24;false;NULL;false;NULL;false;false
67;前端用法;endUsed;ENUM;end_used;100;false;4;true;false;false;{"FILE_URL":"FILE_URL","IMAGE_URL":"IMAGE_URL","VIDEO_URL":"VIDEO_URL","AUDIO_URL":"AUDIO_URL","EDITOR":"EDITOR","CODE_EDITOR":"CODE_EDITOR","SELECT":"SELECT","MODAL_SELECT":"MODAL_SELECT","CHECKBOX":"CHECKBOX","RADIO":"RADIO","RATE":"RATE","SLIDER":"SLIDER","SWITCH":"SWITCH","TEXT_AREA":"TEXT_AREA","AVATAR":"AVATAR"};25;false;NULL;false;NULL;false;false
