id;name;area_code;city_code;merger_name;short_name;zip_code;level;lng;lat
1;Metal Division;青海省 USB;Handcrafted artificial orchestrate;array 旁 calculate;Buckinghamshire Creative withdrawal;630657;12422;33403;92860
2;SMS Handcrafted;Corporate;街;granular Optimization 桥;辽宁省;977989;92985;16019;66033
3;Cheese static cross-platform;Concrete Cheese Optional;Swedish Soft;Manager Metal compress;Berkshire granular generate;393240;27284;84733;12542
4;transitional;and Small;新疆 improvement Rustic;四川省;infrastructure Towels;721459;37326;21157;85191
5;24/365 Account;system-worthy leverage upward-trending;Awesome;Nakfa;侬;274875;49087;98612;51079
6;deposit Wooden;24/365 Concrete;Avon Plastic;Kyat recontextualize;浙江省 deposit;182041;97266;50028;50154
7;Table;expedite;Secured;white;Car Pre-emptive;164759;60691;43618;57766
8;Denmark;RSS networks integrated;superstructure Architect Small;Intelligent Islands;Concrete Kip;708943;13337;6988;49860
9;中心;COM Customer-focused projection;Account Loan HDD;National invoice SSL;web-enabled copy grid-enabled;747481;54979;90443;66075
10;Sudanese;homogeneous hard;microchip Fantastic generating;Associate matrices Communications;relationships;296447;44086;29293;38580
